Word,Pronunciation,Romanisation,Alternate Forms,Parts of Speech,Translation
開始,かいし,kaishi,-,"noun, suru verb, transitive verb, intransitive verb","start, commencement, beginning, initiation"
只,ただ,tada,"唯, 徒, 但, 常, タダ","noun which may take the genitive case particle 'no', noun","ordinary, common, usual OR free of charge, unaffected, as is, safe, only, merely, just, simply, but, however, nevertheless"
しがない,-,shiganai,-,i-adjective (keiyoushi),"worthless, insignificant, unimportant, trivial OR poor, miserable, wretched, humble"
問答無用,もんどうむよう,mondoumuyou,-,noun,there being no use in arguing (about it)
着信,ちゃくしん,chakushin,-,"noun, suru verb, intransitive verb","arrival (of post, news, correspondence, etc.), receiving (a phone call, email, etc.)"
着信メロディ,ちゃくしんめろでぃ,chakushinmerodei,"ちゃくしんメロディ, 着信メロディー, ちゃくしんメロディー",noun,melodic ring tone
居眠り,いねむり,inemuri,居睡り,"noun, suru verb, intransitive verb","nodding off (while sitting), dozing"
ズキズキ,ずきずき,zukizuki,ずきずき,"adverb (fukushi), adverb taking the 'to' particle, suru verb",throbbingly (of pain)
霞,かすみ,kasumi,"翳み, 翳",noun,"haze (esp. in spring), mist OR dimness (of sight)"
掛かる,かかる,kakaru,"掛る, 懸かる, 懸る","godan verb with 'ru' ending, intransitive verb","to take (a resource, e.g. time or money) OR to hang, to come into view, to arrive, to come under (a contract, a tax), to start (engines, motors), to attend, to deal with, to handle, to have started to, to be on the verge of, to overlap (e.g. information in a manual), to cover, to (come) at, to be fastened, to be covered (e.g. with dust, a table-cloth, etc.), to be caught in, to get a call, to depend on"
朝一番,あさいちばん,asaichiban,-,noun,first thing in the morning
肝心,かんじん,kanjin,肝腎,"na-adjective (keiyodoshi), noun which may take the genitive case particle 'no', noun","essential, important, crucial, vital, main"
怒鳴る,どなる,donaru,呶鳴る,"godan verb with 'ru' ending, intransitive verb","to shout (in anger), to yell"
了解,りょうかい,ryoukai,"諒解, 領解, 領会","noun, suru verb, transitive verb","comprehension, consent, understanding, agreement OR OK, roger"
婦警,ふけい,fukei,-,noun,policewoman
厄介,やっかい,yakkai,-,"na-adjective (keiyodoshi), noun","trouble, burden, nuisance, bother, worry OR care, dependence, support, kindness, obligation, staying (with a person)"
預ける,あずける,azukeru,-,"ichidan verb, transitive verb","to leave (in someone's keeping), to put (in someone's care), to place (in someone's custody), to entrust (someone) with, to deposit OR to put (someone) in charge of, to leave (a matter) in someone's hands, to let (someone) decide, to lean on, to put one's weight on"
目茶,めちゃ,mecha,滅茶,adverb (fukushi),"absurd, ridiculous, nonsense OR excessive, extreme"
感動,かんどう,kandou,-,"noun, suru verb, intransitive verb","being deeply moved emotionally, excitement, passion, inspiration, deep emotion, strong impression"
非番,ひばん,hiban,-,"noun, noun which may take the genitive case particle 'no'",off duty
傍聴,ぼうちょう,bouchou,-,"noun, suru verb, transitive verb","listening (to a lecture, hearing, parliament session, etc.), attending (without participating), sitting in (e.g. on a meeting), observing"
照れる,てれる,tereru,-,"ichidan verb, intransitive verb","to be shy, to be bashful, to feel awkward, to feel embarrassed"
尋ねる,たずねる,tazuneru,訊ねる,"ichidan verb, transitive verb","to ask, to enquire, to inquire OR to search, to look for, to look into, to investigate"
偉い,えらい,erai,"豪い, エライ, エラい",i-adjective (keiyoushi),"great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent OR very troublesome, awful, terrible, tiring, tough, extremely"
噛ます,かます,kamasu,"咬ます, 嚼ます","godan verb with 'su' ending, transitive verb","to force someone to clamp with their teeth, to force into someone's mouth (e.g. a gag) OR to wedge into a space, to inflict (a blow), to deal (a hit), to pull (a joke), to say or do (something stupid), to try (a bluff)"
記憶喪失,きおくそうしつ,kiokusoushitsu,-,"noun, noun which may take the genitive case particle 'no'","loss of memory, amnesia"
纏める,まとめる,matomeru,-,"ichidan verb, transitive verb","to collect, to put (it all) together, to integrate, to consolidate, to unify OR to summarize, to aggregate, to bring to a conclusion, to finalize, to settle, to put in order, to establish, to decide"
無責任,むせきにん,musekinin,-,"noun, na-adjective (keiyodoshi)",irresponsibility
凡ゆる,あらゆる,arayuru,有らゆる,pre-noun adjectival (rentaishi),"all, every"
お開き,おひらき,ohiraki,御開き,noun,"breakup (of a ceremony, wedding, party, meeting, etc.), closure"
お開きにする,おひらきにする,ohirakinisuru,-,noun,"to break up (e.g. a meeting), to call it a night"
都合,つごう,tsugou,-,noun,"circumstances, condition, convenience OR to arrange, to manage, to lend money, to raise money, in all, in total, all told"
婦人警官,ふじんけいかん,fujinkeikan,-,noun,policewoman
従って,したがって,shitagatte,-,conjunction,"therefore, consequently, accordingly"
迅速,じんそく,jinsoku,-,"na-adjective (keiyodoshi), noun","quick, fast, rapid, swift, prompt, streamlined, expedited, expeditious"
前もって,まえもって,maemotte,前以て,adverb (fukushi),"in advance, beforehand, previously"
恋人,こいびと,koibito,-,noun,"lover, sweetheart, boyfriend, girlfriend"
然も,しかも,shikamo,而も,conjunction,"moreover, furthermore OR nevertheless, and yet"
有ろう事か,あろうことか,aroukotoka,有ろうことか,"godan verb with 'ru' ending (irregular verb), intransitive verb",of all things
成長,せいちょう,seichou,-,"noun, suru verb, intransitive verb","growth, development, growing up, becoming an adult OR growth (of a company, the economy, etc.)"
胸を借りる,むねをかりる,munewokariru,-,noun,to be allowed to practice with a partner of higher skill (esp. in sumo)
逃げ場,にげば,nigeba,逃場,noun,"(place of) refuge, escape, exit, way out, shelter, hiding place"
覚悟を決める,かくごをきめる,kakugowokimeru,-,"noun, suru verb, transitive verb","to prepare oneself (for the worst), to resolve oneself"
所轄署,しょかつしょ,shokatsusho,-,noun,"taxation office serving a specific area, competent tax office OR police station with jurisdiction for a precinct, etc., competent police station"
研修,けんしゅう,kenshuu,-,"noun, suru verb, transitive verb","training (esp. in-service), induction course"
面倒を見る,めんどうをみる,mendouwomiru,面倒をみる,"noun, na-adjective (keiyodoshi)","to care for someone, to look after someone"
でか,-,deka,デカ,"noun, noun, used as a suffix",detective
教育,きょういく,kyouiku,-,"noun, suru verb, transitive verb","education, schooling, training, instruction, teaching, upbringing OR culture, cultivation"
成果,せいか,seika,-,noun,"(good) result, outcome, fruits (of one's labors), product, accomplishment"
派出所,はしゅつじょ,hashutsujo,はしゅつしょ,noun,"branch office OR police box, local police station"